event,f,sf_up,sf_dn,tau_ms,st_up,st_dn,Mz,sM_up,sM_dn,chi,schi_up,schi_dn
GW150914,254.6,16.1,12.2,4.51,1.1,0.99,71.6,8.6,11.0,0.76,0.1,0.2
GW170104,287.8,99.4,36.1,4.7,3.24,2.24,69.4,13.6,28.1,0.84,0.12,0.57
GW190519_153544,123.6,11.9,13.0,10.33,3.56,3.07,155.5,24.0,29.9,0.81,0.1,0.28
GW190521_074359,204.6,14.6,11.7,5.32,1.48,1.21,86.4,12.2,14.3,0.73,0.12,0.26
GW190630_185205,247.0,29.0,49.8,3.86,2.25,1.73,65.7,18.3,39.2,0.62,0.26,0.62
GW190828_063405,254.3,20.2,17.7,6.22,2.53,2.34,83.1,11.1,18.2,0.89,0.06,0.25
GW190910_112807,174.2,11.7,7.5,9.52,3.13,2.68,123.5,14.7,18.1,0.9,0.05,0.11
GW191109_010717,136.6,11.2,18.3,15.09,3.62,2.74,170.4,25.3,15.1,0.94,0.02,0.04
GW200129_065458,246.4,14.5,18.1,4.68,1.01,0.97,74.2,7.4,10.0,0.76,0.1,0.22
GW200208_130117,460.7,40.7,271.7,18.25,47.49,14.1,71.5,23.8,11.1,1.0,0.0,0.45
GW200224_222234,196.1,10.2,9.6,7.0,1.86,1.71,101.6,10.4,14.0,0.85,0.07,0.16
GW200311_115853,241.8,19.9,20.0,4.72,1.75,1.45,75.3,12.4,17.4,0.76,0.13,0.39
